Name,Shopping List,Packed,SKIPPED,Container,Category,Meal Plans,Day (from Meal Plans),Notes,In Car
Spatula - Wood ,,checked,,Cooking Bin,Cooking,,,,0 checked out of 1
Sponges,,checked,,Safety Bin,Cleaning,,,,0 checked out of 1
Spray cleaner,,checked,,Safety Bin,Cleaning,,,,0 checked out of 1
Spray Oil,,checked,,Food Bin,,"Essentials (Dinner),Essentials (Breakfast)","ALL,ALL",,0 checked out of 1
Stakes (Screw Stakes) - Tent/Tarp Ground ,,checked,,Setup Bin,Setup,,,,0 checked out of 1
Steak,,,,Cooler,,Steak & Salad,,,0 checked out of 1
Steak Seasoning,,checked,,Food Bin,,"Steak & Salad,Burgers & Grilled Veggies",Sunday,,0 checked out of 1
Steam basket,,checked,,Cooking Bin,Cooking,,,,0 checked out of 1
Strainer,,checked,,Cooking Bin,Cooking,,,,0 checked out of 1
Sunglasses,,,,Personal Bag - Drake's,Safety,,,,0 checked out of 1
Sunglasses,,,,Personal Bag - Ethan's,Safety,,,,0 checked out of 1
Sunglasses,,,,Personal Bag - Shawna's,Safety,,,,0 checked out of 1
Sunscreen,,checked,,Safety Bin,Safety,,,,0 checked out of 1
Sunscreen,,,,Personal Bag - Drake's,Safety,,,,0 checked out of 1
Sunscreen Stickers,,checked,,Safety Bin,Safety,,,,0 checked out of 1
Sweatshirt,,,,Personal Bag - Drake's,,,,,0 checked out of 1
Sweatshirt,,checked,,Personal Bag - Ethan's,,,,,0 checked out of 1
Sweatshirt,,,,Personal Bag - Shawna's,Safety,,,,0 checked out of 1
Sweet Italian Sausage,,,,Cooler,,,,,0 checked out of 1
Swimming Pool,,,,Ethan's Toy Bin,Ethan Toys,,,,0 checked out of 1
Swimsuit,,,,Personal Bag - Drake's,,,,,0 checked out of 1
Swimsuit,,,,Personal Bag - Ethan's,,,,,0 checked out of 1
Swimsuit,,,,Personal Bag - Shawna's,Water Activities,,,,0 checked out of 1
T-shirts,,checked,,Personal Bag - Drake's,,,,,0 checked out of 1
T-shirts,,checked,,Personal Bag - Ethan's,,,,,0 checked out of 1
T-shirts,,,,Personal Bag - Shawna's,,,,,0 checked out of 1
Table - Camping Aluminium ,,,,Cabin,Setup,,,,0 checked out of 1
Table cloth,,checked,,Cooking Bin,Cooking,,,,0 checked out of 1
Taco Meat,,,,Cooler,,Tacos,,,0 checked out of 1
Taco seasoning,,,,Food Bin,,Tacos,,,0 checked out of 1
Tamales,,,,Cooler,,Tamales & Chips/Salsa,,,0 checked out of 1
Tape - Duct,,checked,,Setup Bin,Setup,,,,0 checked out of 1
Tarp 10x10 (blue),,,,Cabin,Essentials,,,,0 checked out of 1
Tarp 10x10 (grey),,checked,,Cargo Carrier,Essentials,,,,0 checked out of 1
Tarp 10x10 (grey/black),,,,Cabin,Essentials,,,,0 checked out of 1
Tarp 10x10 (grey/black),,,,Cabin,Essentials,,,,0 checked out of 1
Tarp 10x10 (grey/black),,,,Cabin,Essentials,,,,0 checked out of 1
Tarp 10x15(blue),,checked,,Cargo Carrier,Essentials,,,,0 checked out of 1
